repeticao,nome_img,filtro,config,f1score,precision,recall,tempo_ms,cpu_time_ms,horario_inicio,horario_fim
1,RGB_036.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.09535110565851794,0.17787198919486757,0.06513346796906126,1.9403590013098437,1.8820500000003015,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_037.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.0329064641959471,0.13772006492695718,0.018685572468003286,1.7859379986475687,1.7688909999997726,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_037.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.02158180112713435,0.10826319816373374,0.011985532657400114,1.5092089997779112,1.497320999999996,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_038.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.03336626361852815,0.2073676928398478,0.018142751221874195,0.7914799971331377,0.7846609999999643,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_038.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.015003403281632417,0.1747638326585695,0.00783815273805741,1.610228999197716,1.605060000000158,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_039.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.17817704805221335,0.23568147231585385,0.14323004451359178,1.07045899858349,1.0638300000000989,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_039.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.15237184235545262,0.2342791548588442,0.11290029819784779,1.5361289988504723,1.5208800000001688,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_040.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.22227175008241748,0.2822190779389223,0.18332988656295718,0.7714290004514623,0.7652599999996568,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_040.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.13839111906139845,0.22099373246181506,0.10073760886049771,1.5063690007082187,1.5002799999996874,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_041.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.21978087441731164,0.26954361696946083,0.1855288191563367,0.6623689987463877,0.6621700000000175,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_041.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.15604411958307338,0.24607358197638735,0.11424572343332244,1.4876589993946254,1.481770000000271,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_042.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.21299659879253918,0.29857418389602897,0.16554729351563124,1.7756090019247495,1.7602110000001225,10/05/2026 10:22:19,10/05/2026 10:22:19
